GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SPIGA,fr.spiga.gui,SPIGAApplication,2596,0,135,0,483,0,107,0,37,0
SPIGA,fr.spiga.gui,SPIGAApplication.new AnimationTimer() {...},85,0,10,0,20,0,7,0,2,0
SPIGA,fr.spiga.environment,ZoneOperation,212,659,65,53,42,116,58,27,10,16
SPIGA,fr.spiga.environment,Precipitation.TypePrecipitation,0,39,0,0,0,7,0,1,0,1
SPIGA,fr.spiga.environment,Obstacle,44,90,6,8,8,20,9,7,3,6
SPIGA,fr.spiga.environment,Precipitation,57,27,9,3,12,9,10,3,4,3
SPIGA,fr.spiga.environment,Vent,66,25,9,3,13,8,10,3,4,3
SPIGA,fr.spiga.environment,ZoneExclusion,80,0,10,0,17,0,11,0,6,0
SPIGA,fr.spiga.environment,CourantMarin,54,25,9,3,11,8,9,3,3,3
SPIGA,fr.spiga.core,ActifAerien,146,100,20,10,33,23,21,4,6,4
SPIGA,fr.spiga.core,EtatOperationnel,0,27,0,0,0,5,0,1,0,1
SPIGA,fr.spiga.core,Position3D,81,133,4,8,5,23,8,10,4,8
SPIGA,fr.spiga.core,ActifMobile,356,615,50,52,80,135,54,24,10,17
SPIGA,fr.spiga.core,ActifMarin,149,86,19,9,34,21,19,5,5,5
SPIGA,fr.spiga.mission,MissionInspectionSousMarine,85,24,19,1,20,7,11,3,1,3
SPIGA,fr.spiga.mission,MissionSurveillanceMaritime,90,21,19,1,22,6,13,2,3,2
SPIGA,fr.spiga.mission,MissionRechercheEtSauvetage,190,0,36,0,48,0,23,0,5,0
SPIGA,fr.spiga.mission,MissionReconnaissanceAerienne,109,0,20,0,27,0,14,0,4,0
SPIGA,fr.spiga.mission,Mission,189,149,31,17,48,39,35,10,14,7
SPIGA,fr.spiga.fleet,Essaim,202,104,27,7,37,21,21,8,6,6
SPIGA,fr.spiga.fleet,DroneLogistique,98,0,10,0,23,0,13,0,8,0
SPIGA,fr.spiga.fleet,AUVReconnaissance,31,0,0,0,7,0,4,0,4,0
SPIGA,fr.spiga.fleet,GestionnaireEssaim,366,0,40,0,75,0,44,0,24,0
SPIGA,fr.spiga.fleet,USVLogistique,86,0,10,0,20,0,12,0,7,0
SPIGA,fr.spiga.fleet,DroneReconnaissance,39,22,6,0,11,7,6,3,3,3
SPIGA,fr.spiga.fleet,ASVPatrouille,25,0,0,0,6,0,4,0,4,0
SPIGA,fr.spiga.fleet,VehiculeSurface,28,50,3,3,5,11,6,3,3,3
SPIGA,fr.spiga.fleet,VehiculeSousMarin,47,17,4,0,8,5,6,2,4,2
SPIGA,fr.spiga.fleet,ROVInspection,54,0,2,0,13,0,8,0,7,0
SPIGA,fr.spiga.cli,SPIGACli,831,0,79,0,216,0,68,0,22,0
